BUSINESS_NAME,LICENCEE_NAME,LICENCE,CIVIC_ADDRESS,MAILING_ADDRESS,APPLICATION_DATE,APPROVED_DATE,LICENCE_STATE,RESIDENT_STATUS,IMBL,YEAR_OPENED,NAICS_CODE,NAICS_DESCRIPTION,NWID,PROPERTY_NUMBER,ObjectId
QAYQAYT SEAMLESS DAY,NEW WESTMINSTER SCHOOL DISTRICT,134093,"85 MERIVALE ST
NEW WESTMINSTER BC  V3L 0G2",,20210719000000,20210901,APPROVED,RESIDENT,No,2021,6244,Child day-care services,,,211
A & N ACADEMIC MONTESSORI SCHOOL,"NATH, NORITA",134057,"403 E COLUMBIA ST
NEW WESTMINSTER BC  V3L 3X2",,20210629000000,20210921,APPROVED,RESIDENT,No,2021,6244,Child day-care services,,,246
HAPPY FAMILY CHILD CARE,"RAHMAN, SAJIDA",133772,"1931 EIGHTH AVE
NEW WESTMINSTER BC  V3M 2T2",,20210215000000,20210416,APPROVED,RESIDENT,No,2021,6244,Child day-care services,,,518
TINY HOPPERS EARLY LEARNING QUEENSBOROUGH,JAYTORI OPERATIONS CORPORATION,133725,"F120-805 BOYD ST
NEW WESTMINSTER BC  V3M 5X2",,20210203000000,20210325,APPROVED,RESIDENT,No,2021,6244,Child day-care services,,,537
HEARTLAND MONTESSORI CHILD CARE,"VIRK, SATVIR",133604,"249 DAWE ST
NEW WESTMINSTER BC  V3M 5N1",,20201214000000,20210203,APPROVED,RESIDENT,No,2021,6244,Child day-care services,,,634
PRECIOUS EARLY YEARS CHILDCARE CENTER,PRECIOUS EARLY YEARS CHILDCARE INC,133205,"733 THIRTEENTH ST
NEW WESTMINSTER BC  V3M 4M6",,20200525000000,20201117,APPROVED,RESIDENT,No,2020,6244,Child day-care services,,,928
RAINBOW BUNNIES,"BANDARA, IMASHA",133146,"536 AMESS ST
NEW WESTMINSTER BC  V3L 4A9",,20200415000000,20201117,APPROVED,RESIDENT,No,2020,6244,Child day-care services,,,970
TULIP CHILDCARE CENTER,TULIP CHILDCARE CENTER LTD,133024,"427 E COLUMBIA ST
NEW WESTMINSTER BC  V3L 3X4",,20200205000000,20201117,APPROVED,RESIDENT,No,2020,6244,Child day-care services,,,1063
NEIGHBORHOOD MONTESSORI LEARNING,NEIGHBORHOOD MONTESSORI LEARNING INC.,133005,"121 E COLUMBIA ST
NEW WESTMINSTER BC  V3L 3V7",,20200127000000,20201117,APPROVED,RESIDENT,No,2020,6244,Child day-care services,,,1082
WE CARE CHILDCARE - CHILDREN'S LEARNING CENTRE,"TERO, JESSICA",133006,"602 TWELFTH ST
NEW WESTMINSTER BC  V3M 4J2",,20200127000000,20201117,APPROVED,RESIDENT,No,2020,6244,Child day-care services,,,1084
KIDS BOROUGH OUT OF SCHOOL CARE,WESTMINSTER CHILDREN'S AFTER SCHOOL SOCIETY,132987,"833 SALTER ST
NEW WESTMINSTER BC  V3M 6G8",,20200121000000,20201117,APPROVED,RESIDENT,No,2020,6244,Child day-care services,,,1093
POLKA DOT FINE ART & EDUCATION,POLKA DOT EDUCATION LTD,132705,"205-800 MCBRIDE BLVD
NEW WESTMINSTER BC  V3L 2B8",,20190917000000,20201117,APPROVED,RESIDENT,No,2019,6244,Child day-care services,,,1292
