BUSINESS_NAME,LICENCEE_NAME,LICENCE,CIVIC_ADDRESS,MAILING_ADDRESS,APPLICATION_DATE,APPROVED_DATE,LICENCE_STATE,RESIDENT_STATUS,IMBL,YEAR_OPENED,NAICS_CODE,NAICS_DESCRIPTION,NWID,PROPERTY_NUMBER,ObjectId
MUST'ART LTD,MUST'ART LTD,133685,"BUSINESS - OUT OF TOWN
",,20210118000000,20210118,APPROVED,NON-RESIDENT,No,2020,236220,Commercial and Institutional building construction,,,566
"VILLALOZ, LAURA YSABEL GARCIA","VILLALOZ, LAURA YSABEL GARCIA",133636,"503-52 FOURTH ST
NEW WESTMINSTER BC  V3L 2T6",,20201230000000,20210107,APPROVED,RESIDENT,No,2020,5415,Computer systems design and related services,,,608
CLEARLY PLUMBING AND DRAINAGE LTD,CLEARLY PLUMBING AND DRAINAGE LTD,133631,"BUSINESS - OUT OF TOWN
",,20201230000000,20201230,APPROVED,NON-RESIDENT,No,2020,23822,"Plumbing, heating and air-conditioning contractors",,,609
SPECTRUM FIRE PROTECTION,"ZHANG, CHAO",133632,"BUSINESS - OUT OF TOWN
",,20201228000000,20210105,APPROVED,NON-RESIDENT,No,2020,2389,Other specialty trade contractors,,,616
NEW RHODES CONSTRUCTION,NEW RHODES CONSTRUCTION INC,133617,"BUSINESS - OUT OF TOWN
",,20201218000000,20201218,APPROVED,NON-RESIDENT,No,2020,2381,"Foundation, structure, and building exterior contractors",,,621
ELITE TECH HOLDING LTD,ELITE TECH HOLDING LTD,133614,"915 TWELFTH ST
NEW WESTMINSTER BC  V3M 4K5",,20201217000000,20210112,APPROVED,RESIDENT,No,2020,4411,Automobile dealers,,,624
NORTH-SOUTH COLLEGE OF BUSINESS AND TECHNOLOGY INC,NORTH-SOUTH COLLEGE OF BUSINESS AND TECHNOLOGY INC,133615,"209-615 EIGHTH ST
NEW WESTMINSTER BC  V3M 3S3",,20201217000000,20210121,APPROVED,RESIDENT,No,2020,61141,Business and secretarial schools,,,625
REDSTONE INTERACTIVE LTD,REDSTONE INTERACTIVE LTD,133609,"301-713 COLUMBIA ST
NEW WESTMINSTER BC  V3M 1B2",,20201215000000,20210112,APPROVED,RESIDENT,No,2020,711511,Independent visual artists and artisans,,,626
MIKE REID CONSULTING,"REID, MICHAEL",133611,"2711-900 CARNARVON ST
NEW WESTMINSTER BC  V3M 0K4",,20201215000000,20210107,APPROVED,RESIDENT,No,2020,5415,Computer systems design and related services,,,628
CHOICE ROOFING LTD,CHOICE ROOFING LTD,133607,"821 SCOTT ST
NEW WESTMINSTER BC  V3L 4V1",,20201215000000,20210106,APPROVED,RESIDENT,No,2020,238160,Roofing contractors,,,629
JONET CONSTRUCTION 2012 LTD,JONET CONSTRUCTION 2012 LTD,133612,"BUSINESS - OUT OF TOWN
",,20201215000000,20201215,APPROVED,NON-RESIDENT,No,2020,2381,"Foundation, structure, and building exterior contractors",,,630
WHITE DEER,"HUSSAIN, REEMA",133610,"204-220 SALTER ST
NEW WESTMINSTER BC  V3M 0H4",,20201215000000,20210106,APPROVED,RESIDENT,No,2020,454,Retail trade / Non-store retailers,,,631
SPINOSA ENTERPRISES LTD,SPINOSA ENTERPRISES LTD,133605,"BUSINESS - OUT OF TOWN
",,20201214000000,20201215,APPROVED,NON-RESIDENT,No,2020,236110,Residential building construction (handyman),,,632
DR. J. DUNN MD INC.,DR. J. DUNN MD INC.,133599,"208-301 E COLUMBIA ST
NEW WESTMINSTER BC  V3L 3W5",,20201209000000,20210112,APPROVED,RESIDENT,No,2020,6211,Offices of physicians,,,635
