Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
Company ID,Company Operating Name,Company Legal Name,Email,Phone Number,Fax Number,URL,City,Province,Address 1,Address 2,Postal Code,Company Description,Value of Contracts,Profile Link,Primary Industry NAICS Code,Alternate NAICS Codes,GSIN Codes,
,,,,,,,,,,,,,,,,,,
97E049E361115173E0531B96D48E86D3,Little Miss Chief Gourmet Products Inc,Little Miss Chief Gourmet Products Inc,lmchief@telus.net,,,http://www.littlemisschief.com,Westbank,British Columbia,128-2440 Old Okanagan Hwy,,V4T1X6,From the land renowned for salmon comes the worlds finest gourmet smoked wild Pacific salmonFrom a recipe passed through generation comes the delicate balance of exquisite flavours that is making Little Miss Chief sought after around the ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E361115173E0531B96D48E86D3,311710 - Seafood Product Preparation and Packaging,413140 - Fish and Seafood Product Wholesaler-Distributors | ,,
97E049E3628B5173E0531B96D48E86D3,A & A Technical Services,974086 NWT Ltd.,al@aatechnical.ca,,,http://www.aatechnical.ca,Yellowknife,Northwest Territories,P.O. Box 2922,327B Old Airport Rd,X1A2R2,Supply woven and non-woven geotextiles geogrids supplyinstall geomembrane lining systems PRS tough Cell3D cellular confinement,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E3628B5173E0531B96D48E86D3,541690 - Other Scientific and Technical Consulting Services,561990 - All Other Support Services | ,E199D - Environmental Services | 5179F - Building/Installation Special Trade Services  Not Elsewhere Specified | 5131C - Highways  Roads  Railways   Airfield Runways | 5169D - Other Installation Work | 5139A - Construction Services  Not Elsewhere Specified | E108F - Northern Contaminated Site Environmental Clean-up Work/Services | ,
97E049E3628D5173E0531B96D48E86D3,A&J First Aid & Security,605673 British Columbia Ltd.,amanda@aandjfirstaid.com,,,,Chetwynd,British Columbia,P.O. Box 1478,,V0C1J0,Supply Mobile First Aid Treatment Centers and Occupational First aid attendants to the construction industry also we supply safety coordinators,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E3628D5173E0531B96D48E86D3,624230 - Emergency and Other Relief Services,,,
97E049E360FB5173E0531B96D48E86D3,A's Precision Machining Ltd,A's Precision Machining Ltd,gurpreet@asprecisionmachining.com,,,http://www.asprecisionmachining.com,Mississauga,Ontario,6310 Shawson Dr,,L5T1H5,As Precision Machining Ltd  is  a privately owned company established in 2000 We serve the automotive industrial aerospace and mining industries  We offer milling  turning broaching screw machine and tapering processes  Our commitment ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E360FB5173E0531B96D48E86D3,332710 - Machine Shops,332720 - Turned Product and Screw  Nut and Bolt Manufacturing | ,,
97E049E35FAD5173E0531B96D48E86D3,A-Teck Appraisals Ltd.,A-Teck Appraisals Ltd.,info@ateck.ca,(250) 649-1111,,http://www.ateck.ca,Prince George,British Columbia,1877 Queensway,,V2L1L9,Qualified appraisal services including market value appraisals lease analysis property assessment appeals insurance appraisals etc,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E35FAD5173E0531B96D48E86D3,531320 - Offices of Real Estate Appraisers,,R199B - Miscellaneous Business Services | M110A - Property Management - Office Space/Administrative Buildings | B302A - Feasibility Studies/Needs Analysis | ,
97E049E3607C5173E0531B96D48E86D3,A-Tlegay Fisheries Society,A-Tlegay Fisheries Society,atlegay@shawcable.com,,,,Campbell River,British Columbia,1441A Old Island Hwy.,,V9W2E4,Environmental MonitoringVessel CharterStream Assessments,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E3607C5173E0531B96D48E86D3,487210 - Scenic and Sightseeing Transportation  Water,541620 - Environmental Consulting Services | ,E199D - Environmental Services | V401B - Transportation | ,
D974E2A4ED78EA4ABCE56D6586338385,A. G. CHAPMAN ENTERPRISES,ALFRED GORDON CHAPMAN,agchapmanenterprises@yahoo.com,(705) 856-2227,,,Wawa,Ontario,20 WHITESANDS DRIVE,BOX 32 RR1 SITE 8,P0S 1K0,Alfred Gordon Chapman has been in the logging industry  for 35 years  Having learned the business from my Father and worked with my whole family in the businessOur services are an array of what I worked in all my 35 years and I have gained ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=D974E2A4ED78EA4ABCE56D6586338385, - ,213119 - Other Support Activities for Mining | 484223 - Forest Products Trucking  Local | 237210 - Land Subdivision | 238910 - Site Preparation Contractors | ,5139C - General Heavy Construction | K113A - Snow Plowing and Removal | 5153A - Roofing  Siding and Sheet Metal Installation Services | 5179I - Other Building Completion and Finishing | N5610L - Stone and Aggregate | F010B - Forestry Services  Not Elsewhere Specified | V505A - Storage and Warehousing | V001B - Trucking | WR1920 - FISHING VESSELS - RENTAL | 5112B - Demolition Work | N3805 - Earthmoving and Excavating Equipment | N5410 - Prefabricated and Portable Buildings | 5131C - Highways  Roads  Railways   Airfield Runways | N2330 - Trailers | WR2420 - TRACTORS WHEELED - RENTAL | M110A - Property Management - Office Space/Administrative Buildings | 5139A - Construction Services  Not Elsewhere Specified | WR2330 - TRAILERS - RENTAL | E108F - Northern Contaminated Site Environmental Clean-up Work/Services | N5510 - Lumber and Related Basic Wood Material | ,
97E049E35F725173E0531B96D48E86D3,A. T. Seymour  CGA,A. T. Seymour  CGA,travis@atseymour.com,,,,Port Coquitlam,British Columbia,1627 Western Dr.,,V3C2X1,Financial management Consulting Reviews and Compilations Financial Training Capacity Development Financial Software Installation Tax Returns and Advice Management Consulting,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E35F725173E0531B96D48E86D3,541611 - Administrative Management and General Management Consulting Services,541212 - Offices of Accountants | ,L099A - Financial and Related Services  N.E.S. | U006C - Technical / Vocational Training | R019U - Professional Services / Program Research Analysis | U099C - Educational Services  N.E.S. | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | B308A - Accounting and Financial Management Studies | ,
